tweet_id,tweet_time,retweet,favorites,follows
675522403582218240,2015-12-12 03:47:46,307,1089,6903716
675517828909424640,2015-12-12 03:29:35,491,1375,6903716
675501075957489664,2015-12-12 02:23:01,6264,18022,6903716
675497103322386432,2015-12-12 02:07:14,1396,3297,6903716
675489971617296384,2015-12-12 01:38:53,639,1360,6903716
675483430902214656,2015-12-12 01:12:54,1044,1938,6903716
675432746517426176,2015-12-11 21:51:30,610,1594,6903716
675372240448454658,2015-12-11 17:51:04,545,1797,6903716
675362609739206656,2015-12-11 17:12:48,249,1101,6903716
675354435921575936,2015-12-11 16:40:19,18434,34400,6903716
675349384339542016,2015-12-11 16:20:15,2433,4129,6903716
675334060156301312,2015-12-11 15:19:21,1388,2919,6903716
675166823650848770,2015-12-11 04:14:49,1737,3795,6903716
675153376133427200,2015-12-11 03:21:23,2799,6608,6903716
675149409102012420,2015-12-11 03:05:37,1808,3918,6903716
675147105808306176,2015-12-11 02:56:28,258,991,6903716
675146535592706048,2015-12-11 02:54:12,335,1250,6903716
675145476954566656,2015-12-11 02:49:59,965,2237,6903716
675135153782571009,2015-12-11 02:08:58,528,1361,6903716
675113801096802304,2015-12-11 00:44:07,840,2050,6903716
675111688094527488,2015-12-11 00:35:44,270,1007,6903716
675109292475830276,2015-12-11 00:26:12,1212,2919,6903716
675047298674663426,2015-12-10 20:19:52,354,1108,6903716
675015141583413248,2015-12-10 18:12:05,1286,2838,6903716
675006312288268288,2015-12-10 17:37:00,242,1023,6903716
675003128568291329,2015-12-10 17:24:21,504,1622,6903716
674999807681908736,2015-12-10 17:11:09,1186,2358,6903716
674805413498527744,2015-12-10 04:18:42,379,903,6903716
674800520222154752,2015-12-10 03:59:15,924,3143,6903716
674793399141146624,2015-12-10 03:30:58,1172,2625,6903716
674790488185167872,2015-12-10 03:19:24,271,1150,6903716
674788554665512960,2015-12-10 03:11:43,222,845,6903716
674781762103414784,2015-12-10 02:44:43,1294,2100,6903716
674774481756377088,2015-12-10 02:15:47,511,1183,6903716
674767892831932416,2015-12-10 01:49:36,856,1919,6903716
674764817387900928,2015-12-10 01:37:23,257,824,6903716
674754018082705410,2015-12-10 00:54:28,479,1422,6903716
674752233200820224,2015-12-10 00:47:23,499,1534,6903716
674743008475090944,2015-12-10 00:10:43,585,1467,6903716
674742531037511680,2015-12-10 00:08:50,54,513,6903716
674739953134403584,2015-12-09 23:58:35,422,1170,6903716
674737130913071104,2015-12-09 23:47:22,99,672,6903716
674690135443775488,2015-12-09 20:40:38,499,1199,6903716
674670581682434048,2015-12-09 19:22:56,697,1687,6903716
674664755118911488,2015-12-09 18:59:46,271,960,6903716
674646392044941312,2015-12-09 17:46:48,535,1497,6903716
674644256330530816,2015-12-09 17:38:19,295,1072,6903716
674638615994089473,2015-12-09 17:15:54,623,1749,6903716
674632714662858753,2015-12-09 16:52:27,614,1563,6903716
674606911342424069,2015-12-09 15:09:55,107,981,6903716
674468880899788800,2015-12-09 06:01:26,2203,6492,6903716
674447403907457024,2015-12-09 04:36:06,382,1108,6903716
674436901579923456,2015-12-09 03:54:22,419,1162,6903716
674422304705744896,2015-12-09 02:56:22,566,1486,6903716
674416750885273600,2015-12-09 02:34:18,148,710,6903716
674410619106390016,2015-12-09 02:09:56,499,1249,6903716
674394782723014656,2015-12-09 01:07:00,612,1561,6903716
674372068062928900,2015-12-08 23:36:44,329,885,6903716
674330906434379776,2015-12-08 20:53:11,77,582,6903716
674318007229923329,2015-12-08 20:01:55,551,1475,6903716
674307341513269249,2015-12-08 19:19:32,7402,11829,6903716
674291837063053312,2015-12-08 18:17:56,6314,15425,6903716
674271431610523648,2015-12-08 16:56:51,775,1636,6903716
674269164442398721,2015-12-08 16:47:50,243,932,6903716
674265582246694913,2015-12-08 16:33:36,900,1706,6903716
674262580978937856,2015-12-08 16:21:41,488,1352,6903716
674255168825880576,2015-12-08 15:52:13,599,1529,6903716
674082852460433408,2015-12-08 04:27:30,181,781,6903716
674075285688614912,2015-12-08 03:57:26,305,1017,6903716
674063288070742018,2015-12-08 03:09:46,2374,6636,6903716
674053186244734976,2015-12-08 02:29:37,1392,3469,6903716
674051556661161984,2015-12-08 02:23:09,512,1512,6903716
674045139690631169,2015-12-08 01:57:39,685,1472,6903716
674042553264685056,2015-12-08 01:47:22,136,748,6903716
674038233588723717,2015-12-08 01:30:12,436,1144,6903716
674036086168010753,2015-12-08 01:21:40,233,874,6903716
674024893172875264,2015-12-08 00:37:11,1305,1867,6903716
674019345211760640,2015-12-08 00:15:09,320,1177,6903716
674014384960745472,2015-12-07 23:55:26,689,1636,6903716
674008982932058114,2015-12-07 23:33:58,373,1247,6903716
673956914389192708,2015-12-07 20:07:04,1028,2028,6903716
673919437611909120,2015-12-07 17:38:09,387,1211,6903716
673906403526995968,2015-12-07 16:46:21,1736,3318,6903716
673887867907739649,2015-12-07 15:32:42,267,970,6903716
673716320723169284,2015-12-07 04:11:02,812,3205,6903716
673715861853720576,2015-12-07 04:09:13,2226,3697,6903716
673711475735838725,2015-12-07 03:51:47,317,1081,6903716
673709992831262724,2015-12-07 03:45:53,293,883,6903716
673708611235921920,2015-12-07 03:40:24,308,1116,6903716
673707060090052608,2015-12-07 03:34:14,416,1144,6903716
673705679337693185,2015-12-07 03:28:45,420,1305,6903716
673700254269775872,2015-12-07 03:07:12,606,1489,6903716
673697980713705472,2015-12-07 02:58:09,2086,3958,6903716
673689733134946305,2015-12-07 02:25:23,689,1814,6903716
673688752737402881,2015-12-07 02:21:29,524,1313,6903716
673686845050527744,2015-12-07 02:13:55,463,1500,6903716
673680198160809984,2015-12-07 01:47:30,497,1422,6903716
673662677122719744,2015-12-07 00:37:52,384,1298,6903716
673656262056419329,2015-12-07 00:12:23,257,745,6903716
673636718965334016,2015-12-06 22:54:44,394,1166,6903716
673612854080196609,2015-12-06 21:19:54,770,1653,6903716
673583129559498752,2015-12-06 19:21:47,391,1233,6903716
673580926094458881,2015-12-06 19:13:01,283,861,6903716
673576835670777856,2015-12-06 18:56:46,594,1433,6903716
673363615379013632,2015-12-06 04:49:31,329,1059,6903716
673359818736984064,2015-12-06 04:34:25,711,1512,6903716
673355879178194945,2015-12-06 04:18:46,623,1548,6903716
673352124999274496,2015-12-06 04:03:51,573,1712,6903716
673350198937153538,2015-12-06 03:56:12,223,760,6903716
673345638550134785,2015-12-06 03:38:05,1367,2620,6903716
673343217010679808,2015-12-06 03:28:27,282,1008,6903716
673342308415348736,2015-12-06 03:24:51,629,1317,6903716
673320132811366400,2015-12-06 01:56:44,8434,14049,6903716
673317986296586240,2015-12-06 01:48:12,280,898,6903716
673295268553605120,2015-12-06 00:17:55,3368,7819,6903716
673270968295534593,2015-12-05 22:41:22,394,1103,6903716
673240798075449344,2015-12-05 20:41:29,771,1470,6903716
673213039743795200,2015-12-05 18:51:11,896,2343,6903716
673148804208660480,2015-12-05 14:35:56,666,1769,6903716
672997845381865473,2015-12-05 04:36:04,761,2037,6903716
672995267319328768,2015-12-05 04:25:50,314,990,6903716
672988786805112832,2015-12-05 04:00:04,305,1008,6903716
672984142909456390,2015-12-05 03:41:37,571,1294,6903716
672980819271634944,2015-12-05 03:28:25,1052,1873,6903716
672975131468300288,2015-12-05 03:05:49,971,1749,6903716
672970152493887488,2015-12-05 02:46:02,375,993,6903716
672968025906282496,2015-12-05 02:37:35,580,1365,6903716
672964561327235073,2015-12-05 02:23:49,678,1475,6903716
672902681409806336,2015-12-04 22:17:55,532,1416,6903716
672898206762672129,2015-12-04 22:00:08,444,922,6903716
672884426393653248,2015-12-04 21:05:23,878,1612,6903716
672877615439593473,2015-12-04 20:38:19,391,1065,6903716
672834301050937345,2015-12-04 17:46:12,607,1363,6903716
672828477930868736,2015-12-04 17:23:04,517,1301,6903716
672640509974827008,2015-12-04 04:56:09,340,1009,6903716
672622327801233409,2015-12-04 03:43:54,521,1343,6903716
672614745925664768,2015-12-04 03:13:46,620,1269,6903716
672609152938721280,2015-12-04 02:51:33,409,1151,6903716
672604026190569472,2015-12-04 02:31:10,430,1154,6903716
672594978741354496,2015-12-04 01:55:13,639,1375,6903716
672591762242805761,2015-12-04 01:42:26,350,985,6903716
672591271085670400,2015-12-04 01:40:29,197,754,6903716
672538107540070400,2015-12-03 22:09:14,392,1064,6903716
672523490734551040,2015-12-03 21:11:09,181,672,6903716
672488522314567680,2015-12-03 18:52:12,463,1152,6903716
672482722825261057,2015-12-03 18:29:09,640,1176,6903716
672481316919734272,2015-12-03 18:23:34,128,736,6903716
672475084225949696,2015-12-03 17:58:48,739,1490,6903716
672466075045466113,2015-12-03 17:23:00,571,1407,6903716
672272411274932228,2015-12-03 04:33:27,3580,6698,6903716
672267570918129665,2015-12-03 04:14:13,645,1553,6903716
672264251789176834,2015-12-03 04:01:02,362,1188,6903716
672256522047614977,2015-12-03 03:30:19,1648,2918,6903716
672254177670729728,2015-12-03 03:21:00,780,1480,6903716
672248013293752320,2015-12-03 02:56:30,637,1789,6903716
672245253877968896,2015-12-03 02:45:32,164,711,6903716
672239279297454080,2015-12-03 02:21:48,335,927,6903716
672231046314901505,2015-12-03 01:49:05,1061,1910,6903716
672222792075620352,2015-12-03 01:16:17,223,814,6903716
672205392827572224,2015-12-03 00:07:09,1220,2338,6903716
672169685991993344,2015-12-02 21:45:16,392,1053,6903716
672160042234327040,2015-12-02 21:06:56,381,902,6903716
672139350159835138,2015-12-02 19:44:43,765,1816,6903716
672125275208069120,2015-12-02 18:48:47,1208,2498,6903716
672095186491711488,2015-12-02 16:49:14,386,1032,6903716
672082170312290304,2015-12-02 15:57:30,386,977,6903716
672068090318987265,2015-12-02 15:01:33,543,1347,6903716
671896809300709376,2015-12-02 03:40:57,4379,8773,6903716
671891728106971137,2015-12-02 03:20:45,594,1376,6903716
671882082306625538,2015-12-02 02:42:26,1451,3593,6903716
671879137494245376,2015-12-02 02:30:43,728,1473,6903716
671874878652489728,2015-12-02 02:13:48,582,1295,6903716
671866342182637568,2015-12-02 01:39:53,525,1167,6903716
671855973984772097,2015-12-02 00:58:41,479,950,6903716
671789708968640512,2015-12-01 20:35:22,3681,7325,6903716
671768281401958400,2015-12-01 19:10:13,552,1238,6903716
671763349865160704,2015-12-01 18:50:38,975,1743,6903716
671744970634719232,2015-12-01 17:37:36,814,1396,6903716
671743150407421952,2015-12-01 17:30:22,240,765,6903716
671735591348891648,2015-12-01 17:00:19,791,1498,6903716
671729906628341761,2015-12-01 16:37:44,4614,8864,6903716
671561002136281088,2015-12-01 05:26:34,7662,13345,6903716
671550332464455680,2015-12-01 04:44:10,219,947,6903716
671547767500775424,2015-12-01 04:33:59,631,1407,6903716
671544874165002241,2015-12-01 04:22:29,1108,2069,6903716
671542985629241344,2015-12-01 04:14:59,597,1134,6903716
671538301157904385,2015-12-01 03:56:22,416,960,6903716
671536543010570240,2015-12-01 03:49:23,430,1225,6903716
671533943490011136,2015-12-01 03:39:03,609,1066,6903716
671528761649688577,2015-12-01 03:18:27,272,874,6903716
671520732782923777,2015-12-01 02:46:33,561,1449,6903716
671518598289059840,2015-12-01 02:38:04,306,981,6903716
671511350426865664,2015-12-01 02:09:16,768,1676,6903716
671504605491109889,2015-12-01 01:42:28,3733,7309,6903716
671497587707535361,2015-12-01 01:14:35,472,955,6903716
671488513339211776,2015-12-01 00:38:31,494,1048,6903716
671486386088865792,2015-12-01 00:30:04,215,604,6903716
671485057807351808,2015-12-01 00:24:48,243,789,6903716
671390180817915904,2015-11-30 18:07:47,779,1468,6903716
671362598324076544,2015-11-30 16:18:11,309,1161,6903716
671357843010908160,2015-11-30 15:59:17,155,415,6903716
671355857343524864,2015-11-30 15:51:24,118,495,6903716
671347597085433856,2015-11-30 15:18:34,457,1007,6903716
671186162933985280,2015-11-30 04:37:05,227,763,6903716
671182547775299584,2015-11-30 04:22:44,362,1161,6903716
671166507850801152,2015-11-30 03:18:59,374,904,6903716
671163268581498880,2015-11-30 03:06:07,1171,1724,6903716
671159727754231808,2015-11-30 02:52:03,86,387,6903716
671154572044468225,2015-11-30 02:31:34,228,746,6903716
671151324042559489,2015-11-30 02:18:39,161,694,6903716
671147085991960577,2015-11-30 02:01:49,241,697,6903716
671141549288370177,2015-11-30 01:39:49,689,1211,6903716
671138694582165504,2015-11-30 01:28:28,425,964,6903716
671134062904504320,2015-11-30 01:10:04,204,773,6903716
671122204919246848,2015-11-30 00:22:57,2674,3632,6903716
671115716440031232,2015-11-29 23:57:10,812,1404,6903716
671109016219725825,2015-11-29 23:30:32,460,1190,6903716
670995969505435648,2015-11-29 16:01:20,306,1147,6903716
670842764863651840,2015-11-29 05:52:33,9273,25474,6903716
670840546554966016,2015-11-29 05:43:44,206,617,6903716
670838202509447168,2015-11-29 05:34:25,733,1157,6903716
670833812859932673,2015-11-29 05:16:59,132,461,6903716
670832455012716544,2015-11-29 05:11:35,231,762,6903716
670826280409919488,2015-11-29 04:47:03,4305,5784,6903716
670823764196741120,2015-11-29 04:37:03,201,805,6903716
670822709593571328,2015-11-29 04:32:51,102,633,6903716
670815497391357952,2015-11-29 04:04:12,1638,3303,6903716
670811965569282048,2015-11-29 03:50:10,284,1171,6903716
670807719151067136,2015-11-29 03:33:17,519,1190,6903716
670804601705242624,2015-11-29 03:20:54,1002,2044,6903716
670803562457407488,2015-11-29 03:16:46,92,351,6903716
670797304698376195,2015-11-29 02:51:54,248,756,6903716
670792680469889025,2015-11-29 02:33:32,292,865,6903716
670789397210615808,2015-11-29 02:20:29,253,688,6903716
670786190031921152,2015-11-29 02:07:44,213,624,6903716
670783437142401025,2015-11-29 01:56:48,418,849,6903716
670782429121134593,2015-11-29 01:52:48,825,1633,6903716
670780561024270336,2015-11-29 01:45:22,302,806,6903716
670778058496974848,2015-11-29 01:35:26,76,340,6903716
670764103623966721,2015-11-29 00:39:59,448,1112,6903716
670755717859713024,2015-11-29 00:06:39,120,463,6903716
670733412878163972,2015-11-28 22:38:01,537,993,6903716
670727704916926465,2015-11-28 22:15:21,387,864,6903716
670717338665226240,2015-11-28 21:34:09,523,1264,6903716
670704688707301377,2015-11-28 20:43:53,390,789,6903716
670691627984359425,2015-11-28 19:51:59,255,608,6903716
670679630144274432,2015-11-28 19:04:19,307,776,6903716
670676092097810432,2015-11-28 18:50:15,45,260,6903716
670668383499735048,2015-11-28 18:19:37,5332,11135,6903716
670474236058800128,2015-11-28 05:28:09,809,1586,6903716
670468609693655041,2015-11-28 05:05:47,89,363,6903716
670465786746662913,2015-11-28 04:54:34,586,1010,6903716
670452855871037440,2015-11-28 04:03:11,219,568,6903716
670449342516494336,2015-11-28 03:49:14,709,1233,6903716
670444955656130560,2015-11-28 03:31:48,2087,6952,6903716
670442337873600512,2015-11-28 03:21:24,206,674,6903716
670435821946826752,2015-11-28 02:55:30,554,1092,6903716
670434127938719744,2015-11-28 02:48:46,684,1456,6903716
670433248821026816,2015-11-28 02:45:17,120,334,6903716
670428280563085312,2015-11-28 02:25:32,673,1440,6903716
